date,side,px,qty
2023-04-25,BUY,163.40166732788086,1224
2023-04-27,SELL,163.87802671051026,1224
2023-05-10,BUY,167.68380610656737,1193
2023-05-11,SELL,167.47621755981447,1193
2023-05-12,BUY,164.40216732788085,1217
2023-05-17,SELL,166.59665267944337,1217
2023-06-09,BUY,165.40266732788086,1209
2023-06-12,SELL,164.63764122009277,1209
2023-06-23,BUY,164.8824030532837,1213
2023-06-26,SELL,165.19735877990723,1213
2023-06-27,BUY,167.52372244262693,1194
2023-06-28,SELL,176.11189694976807,1194
2023-06-29,BUY,171.2855969467163,1168
2023-07-03,SELL,171.11439694976806,1168
2023-09-28,BUY,179.18955610656738,1116
2023-09-29,SELL,176.51170610046387,1116
2023-10-31,BUY,176.88840305328367,1131
2023-11-02,SELL,177.51120610046388,1131
2023-11-06,BUY,176.98844389343262,1130
2023-11-07,SELL,174.81254389953614,1130
2024-03-08,BUY,185.59275,1078
2024-03-11,SELL,182.30879389953614,1078
2024-03-22,BUY,183.59175,1089
2024-03-25,SELL,182.9085,1089
2024-03-27,BUY,184.09199999999998,1086
2024-03-28,SELL,179.91,1086
2024-12-03,BUY,156.9784438934326,1274
2024-12-04,SELL,156.42175,1274
2024-12-05,BUY,155.67780610656737,1285
2024-12-06,SELL,156.72160305023195,1285
2024-12-30,BUY,158.07899999999998,1265
2025-01-06,SELL,156.9215,1265
2025-01-07,BUY,157.57874999999999,1269
2025-01-08,SELL,156.32179389953615,1269
2025-05-13,BUY,152.7763469467163,1309
2025-05-15,SELL,152.92350000000002,1309
2025-05-29,BUY,155.9779438934326,1282
2025-05-30,SELL,160.31979389953614,1282
2025-07-08,BUY,155.67780610656737,1285
2025-07-09,SELL,154.0229561004639,1285
2025-08-14,BUY,162.081,1234
2025-08-15,SELL,162.91850000000002,1234
2025-09-12,BUY,161.58075,1238
2025-09-16,SELL,160.9195,1238
2025-09-17,BUY,161.0805,1242
2025-09-18,SELL,159.82004389953613,1242
2025-10-17,BUY,158.3791530532837,1263
2025-10-21,SELL,160.01995610046387,1263
