date,side,px,qty,reason
2023-05-19,BUY,1844.9219999999998,108,
2023-05-19,SELL,1841.2340000000002,108,SL
2023-05-23,BUY,1851.9254999999998,108,
2023-05-23,SELL,1848.2235,108,SL
2023-06-05,BUY,1908.954,104,
2023-06-05,SELL,1905.1380000000001,104,SL
2023-06-08,BUY,1903.4512499999998,105,
2023-06-08,SELL,1899.64625,105,SL
2023-06-15,BUY,1952.9759999999999,102,
2023-06-15,SELL,1949.0720000000001,102,SL
2023-06-19,BUY,1909.45425,104,
2023-06-19,SELL,1905.63725,104,SL
2023-07-26,BUY,1847.9234999999999,108,
2023-07-27,SELL,1868.0655000000002,108,TP
2023-12-08,BUY,2154.5767499999997,92,
2023-12-08,SELL,2150.26975,92,SL
2024-01-25,BUY,2120.0595,94,
2024-01-25,SELL,2115.8215,94,SL
2024-02-02,BUY,2121.06,94,
2024-02-02,SELL,2143.30781,94,TP
2024-03-11,BUY,2428.2135,82,
2024-03-11,SELL,2423.3595,82,SL
2024-03-14,BUY,2459.72925,81,
2024-03-14,SELL,2454.81225,81,SL
2024-03-19,BUY,2518.2585,79,
2024-03-19,SELL,2513.2245000000003,79,SL
2024-07-11,BUY,2681.8402499999997,74,
2024-07-11,SELL,2676.4792500000003,74,SL
2024-07-18,BUY,2632.3154999999997,76,
2024-07-18,SELL,2659.9258717499997,76,TP
2024-08-01,BUY,2683.84125,74,
2024-08-01,SELL,2678.47625,74,SL
2024-09-02,BUY,2708.3534999999997,73,
2024-09-02,SELL,2736.761434749999,73,TP
2024-09-05,BUY,2760.3795,72,
2024-09-05,SELL,2754.8615,72,SL
2024-09-09,BUY,2728.3635,73,
2024-09-09,SELL,2722.9095,73,SL
2024-09-11,BUY,2881.44,69,
2024-09-11,SELL,2875.6800000000003,69,SL
2024-09-13,BUY,2906.95275,68,
2024-09-13,SELL,2901.1417500000002,68,SL
2024-09-18,BUY,2950.97475,67,
2024-09-18,SELL,2945.07575,67,SL
2024-09-24,BUY,2911.455,68,
2024-09-24,SELL,2905.635,68,SL
2024-09-30,BUY,2915.457,68,
2024-09-30,SELL,2946.0372445000003,68,TP
2024-10-03,BUY,3051.5249999999996,65,
2024-10-03,SELL,3045.425,65,SL
2024-10-09,BUY,3131.565,63,
2024-10-09,SELL,3164.4120025000007,63,TP
2024-10-16,BUY,3101.5499999999997,64,
2024-10-16,SELL,3098.4500000000003,64,REV
2025-02-13,BUY,3071.535,65,
2025-02-13,SELL,3065.395,65,SL
2025-03-10,BUY,3117.558,64,
2025-03-10,SELL,3111.326,64,SL
2025-03-31,BUY,2995.497,66,
2025-03-31,SELL,2989.509,66,SL
2025-05-21,BUY,3245.622,61,
2025-05-21,SELL,3239.134,61,SL
2025-06-03,BUY,3532.7655,56,
2025-06-03,SELL,3525.7035,56,SL
2025-06-11,BUY,3491.745,57,
2025-06-11,SELL,3484.7650000000003,57,SL
2025-06-16,BUY,3456.7275,57,
2025-06-16,SELL,3449.8175,57,SL
2025-07-31,BUY,3191.595,62,
2025-07-31,SELL,3225.071657499999,62,TP
2025-08-04,BUY,3324.6614999999997,60,
2025-08-04,SELL,3359.5338927499997,60,TP
2025-08-06,BUY,3481.74,57,
2025-08-06,SELL,3518.2599899999996,57,TP
2025-08-28,BUY,3494.7464999999997,57,
2025-08-28,SELL,3488.255,57,REV
2025-09-11,BUY,3746.8725,53,
2025-09-11,SELL,3739.3825,53,SL
2025-09-16,BUY,3771.8849999999998,53,
2025-09-16,SELL,3764.3450000000003,53,SL
2025-09-18,BUY,3689.8439999999996,54,
2025-09-18,SELL,3690.154,54,REV
2025-09-22,BUY,3690.8444999999997,54,
2025-09-22,SELL,3729.5577882499997,54,TP
2025-10-08,BUY,3860.9294999999997,51,
2025-10-08,SELL,3901.4268107499997,51,TP
2025-10-15,BUY,3726.8624999999997,53,
2025-10-15,SELL,3765.9535812499994,53,TP
