date,equity
2023-01-04,1000000.0
2023-01-05,1000000.0
2023-01-06,1000000.0
2023-01-10,1000000.0
2023-01-11,1000000.0
2023-01-12,1000000.0
2023-01-13,1000000.0
2023-01-16,1000000.0
2023-01-17,1000000.0
2023-01-18,1000000.0
2023-01-19,1000000.0
2023-01-20,1000000.0
2023-01-23,1000000.0
2023-01-24,1000000.0
2023-01-25,1000000.0
2023-01-26,1000000.0
2023-01-27,1000000.0
2023-01-30,1000000.0
2023-01-31,1000000.0
2023-02-01,1000000.0
2023-02-02,1000000.0
2023-02-03,1000000.0
2023-02-06,1000000.0
2023-02-07,1000000.0
2023-02-08,1000000.0
2023-02-09,1000000.0
2023-02-10,1000000.0
2023-02-13,1000000.0
2023-02-14,1000000.0
2023-02-15,1000000.0
2023-02-16,1000000.0
2023-02-17,1000000.0
2023-02-20,1000000.0
2023-02-21,1000000.0
2023-02-22,1000000.0
2023-02-24,1000000.0
2023-02-27,1000000.0
2023-02-28,1000000.0
2023-03-01,1000000.0
2023-03-02,1000000.0
2023-03-03,1000000.0
2023-03-06,1000000.0
2023-03-07,1000000.0
2023-03-08,1000000.0
2023-03-09,1000000.0
2023-03-10,1000000.0
2023-03-13,1000000.0
2023-03-14,1000000.0
2023-03-15,1000000.0
2023-03-16,1000000.0
2023-03-17,1000000.0
2023-03-20,1000000.0
2023-03-22,1000000.0
2023-03-23,1000000.0
2023-03-24,1000000.0
2023-03-27,1000000.0
2023-03-28,1000000.0
2023-03-29,1000000.0
2023-03-30,1000000.0
2023-03-31,1000000.0
2023-04-03,1000000.0
2023-04-04,1000000.0
2023-04-05,1000000.0
2023-04-06,1000000.0
2023-04-07,1000000.0
2023-04-10,1000000.0
2023-04-11,1000000.0
2023-04-12,1000000.0
2023-04-13,1000000.0
2023-04-14,1000000.0
2023-04-17,1000000.0
2023-04-18,1000000.0
2023-04-19,1000000.0
2023-04-20,1000000.0
2023-04-21,1000000.0
2023-04-24,1000000.0
2023-04-25,1000000.0
2023-04-26,1000538.5814888305
2023-04-27,1001174.7175398254
2023-04-28,1001174.7175398254
2023-05-01,1001174.7175398254
2023-05-02,1001174.7175398254
2023-05-08,1001174.7175398254
2023-05-09,1001174.7175398254
2023-05-10,1001174.7175398254
2023-05-11,1000879.3285571975
2023-05-12,1000879.3285571975
2023-05-15,1002977.8025345898
2023-05-16,1002977.8025345898
2023-05-17,1002577.9120677623
2023-05-18,1002577.9120677623
2023-05-19,1002577.9120677623
2023-05-22,1002577.9120677623
2023-05-23,1002577.9120677623
2023-05-24,1002577.9120677623
2023-05-25,1002577.9120677623
2023-05-26,1002577.9120677623
2023-05-29,1002577.9120677623
2023-05-30,1002577.9120677623
2023-05-31,1002577.9120677623
2023-06-01,1002577.9120677623
2023-06-02,1002577.9120677623
2023-06-05,1002577.9120677623
2023-06-06,1002577.9120677623
2023-06-07,1002577.9120677623
2023-06-08,1002577.9120677623
2023-06-09,1002577.9120677623
2023-06-12,1002178.0348751049
2023-06-13,1002178.0348751049
2023-06-14,1002178.0348751049
2023-06-15,1002178.0348751049
2023-06-16,1002178.0348751049
2023-06-19,1002178.0348751049
2023-06-20,1002178.0348751049
2023-06-21,1002178.0348751049
2023-06-22,1002178.0348751049
2023-06-23,1002178.0348751049
2023-06-26,1002220.1981990566
2023-06-27,1002220.1981990566
2023-06-28,1004318.8097017888
2023-06-29,1004318.8097017888
2023-06-30,1003918.8365088567
2023-07-03,1003918.8365088567
2023-07-04,1003918.8365088567
2023-07-05,1003918.8365088567
2023-07-06,1003918.8365088567
2023-07-07,1003918.8365088567
2023-07-10,1003918.8365088567
2023-07-11,1003918.8365088567
2023-07-12,1003918.8365088567
2023-07-13,1003918.8365088567
2023-07-14,1003918.8365088567
2023-07-18,1003918.8365088567
2023-07-19,1003918.8365088567
2023-07-20,1003918.8365088567
2023-07-21,1003918.8365088567
2023-07-24,1003918.8365088567
2023-07-25,1003918.8365088567
2023-07-26,1003918.8365088567
2023-07-27,1003918.8365088567
2023-07-28,1003918.8365088567
2023-07-31,1003918.8365088567
2023-08-01,1003918.8365088567
2023-08-02,1003918.8365088567
2023-08-03,1003918.8365088567
2023-08-04,1003918.8365088567
2023-08-07,1003918.8365088567
2023-08-08,1003918.8365088567
2023-08-09,1003918.8365088567
2023-08-10,1003918.8365088567
2023-08-14,1003918.8365088567
2023-08-15,1003918.8365088567
2023-08-16,1003918.8365088567
2023-08-17,1003918.8365088567
2023-08-18,1003918.8365088567
2023-08-21,1003918.8365088567
2023-08-22,1003918.8365088567
2023-08-23,1003918.8365088567
2023-08-24,1003918.8365088567
2023-08-25,1003918.8365088567
2023-08-28,1003918.8365088567
2023-08-29,1003918.8365088567
2023-08-30,1003918.8365088567
2023-08-31,1003918.8365088567
2023-09-01,1003918.8365088567
2023-09-04,1003918.8365088567
2023-09-05,1003918.8365088567
2023-09-06,1003918.8365088567
2023-09-07,1003918.8365088567
2023-09-08,1003918.8365088567
2023-09-11,1003918.8365088567
2023-09-12,1003918.8365088567
2023-09-13,1003918.8365088567
2023-09-14,1003918.8365088567
2023-09-15,1003918.8365088567
2023-09-19,1003918.8365088567
2023-09-20,1003918.8365088567
2023-09-21,1003918.8365088567
2023-09-22,1003918.8365088567
2023-09-25,1003918.8365088567
2023-09-26,1003918.8365088567
2023-09-27,1003918.8365088567
2023-09-28,1003918.8365088567
2023-09-29,1003518.9613020696
2023-10-02,1003518.9613020696
2023-10-03,1003518.9613020696
2023-10-04,1003518.9613020696
2023-10-05,1003518.9613020696
2023-10-06,1003518.9613020696
2023-10-10,1003518.9613020696
2023-10-11,1003518.9613020696
2023-10-12,1003518.9613020696
2023-10-13,1003518.9613020696
2023-10-16,1003518.9613020696
2023-10-17,1003518.9613020696
2023-10-18,1003518.9613020696
2023-10-19,1003518.9613020696
2023-10-20,1003518.9613020696
2023-10-23,1003518.9613020696
2023-10-24,1003518.9613020696
2023-10-25,1003518.9613020696
2023-10-26,1003518.9613020696
2023-10-27,1003518.9613020696
2023-10-30,1003518.9613020696
2023-10-31,1003518.9613020696
2023-11-01,1004546.9641003484
2023-11-02,1005617.7525703949
2023-11-06,1005617.7525703949
2023-11-07,1005218.0865703948
2023-11-08,1005218.0865703948
2023-11-09,1005218.0865703948
2023-11-10,1005218.0865703948
2023-11-13,1005218.0865703948
2023-11-14,1005218.0865703948
2023-11-15,1005218.0865703948
2023-11-16,1005218.0865703948
2023-11-17,1005218.0865703948
2023-11-20,1005218.0865703948
2023-11-21,1005218.0865703948
2023-11-22,1005218.0865703948
2023-11-24,1005218.0865703948
2023-11-27,1005218.0865703948
2023-11-28,1005218.0865703948
2023-11-29,1005218.0865703948
2023-11-30,1005218.0865703948
2023-12-01,1005218.0865703948
2023-12-04,1005218.0865703948
2023-12-05,1005218.0865703948
2023-12-06,1005218.0865703948
2023-12-07,1005218.0865703948
2023-12-08,1005218.0865703948
2023-12-11,1005218.0865703948
2023-12-12,1005218.0865703948
2023-12-13,1005218.0865703948
2023-12-14,1005218.0865703948
2023-12-15,1005218.0865703948
2023-12-18,1005218.0865703948
2023-12-19,1005218.0865703948
2023-12-20,1005218.0865703948
2023-12-21,1005218.0865703948
2023-12-22,1005218.0865703948
2023-12-25,1005218.0865703948
2023-12-26,1005218.0865703948
2023-12-27,1005218.0865703948
2023-12-28,1005218.0865703948
2023-12-29,1005218.0865703948
2024-01-04,1005218.0865703948
2024-01-05,1005218.0865703948
2024-01-09,1005218.0865703948
2024-01-10,1005218.0865703948
2024-01-11,1005218.0865703948
2024-01-12,1005218.0865703948
2024-01-15,1005218.0865703948
2024-01-16,1005218.0865703948
2024-01-17,1005218.0865703948
2024-01-18,1005218.0865703948
2024-01-19,1005218.0865703948
2024-01-22,1005218.0865703948
2024-01-23,1005218.0865703948
