date,side,px,qty,reason
2023-04-26,BUY,162.92141633605956,1228,
2023-04-27,SELL,163.87802671051026,1228,REV
2023-05-11,BUY,167.72381938934325,1193,
2023-05-11,SELL,167.47621755981447,1193,REV
2023-05-15,BUY,168.40416732788086,1188,
2023-05-15,SELL,170.17055956474303,1188,TP
2023-05-17,BUY,166.84337450408935,1199,
2023-05-17,SELL,166.5098545150757,1199,SL
2023-06-12,BUY,166.2830969467163,1203,
2023-06-12,SELL,165.95069695281984,1203,SL
2023-06-26,BUY,165.1625418319702,1211,
2023-06-26,SELL,165.19735877990723,1211,REV
2023-06-28,BUY,169.84487450408935,1178,
2023-06-28,SELL,171.6263783264427,1178,TP
2023-06-30,BUY,172.7863469467163,1158,
2023-06-30,SELL,172.44094695281984,1158,SL
2023-09-29,BUY,179.8899030532837,1112,
2023-09-29,SELL,179.53030304718018,1112,SL
2023-11-01,BUY,177.3886530532837,1128,
2023-11-02,SELL,179.24928361030965,1128,TP
2023-11-07,BUY,177.08849999999998,1129,
2023-11-07,SELL,176.7345,1129,SL
2024-03-11,BUY,185.19255610656737,1080,
2024-03-11,SELL,184.82235609436037,1080,SL
2024-03-25,BUY,184.3921530532837,1085,
2024-03-25,SELL,184.02355304718017,1085,SL
2024-03-28,BUY,181.0905,1104,
2024-03-28,SELL,180.7285,1104,SL
2024-12-04,BUY,157.0785,1273,
2024-12-04,SELL,156.7645,1273,SL
2024-12-06,BUY,156.2780969467163,1280,
2024-12-06,SELL,156.72160305023195,1280,REV
2025-01-06,BUY,159.17955610656736,1257,
2025-01-06,SELL,158.86135609436036,1257,SL
2025-01-08,BUY,157.0785,1273,
2025-01-08,SELL,156.7645,1273,SL
2025-05-14,BUY,152.57625,1311,
2025-05-14,SELL,152.27125,1311,SL
2025-05-30,BUY,155.7778469467163,1284,
2025-05-30,SELL,157.41180163969037,1284,TP
2025-07-09,BUY,156.9784438934326,1274,
2025-07-09,SELL,156.66464390563965,1274,SL
2025-08-15,BUY,162.58124999999998,1230,
2025-08-15,SELL,162.91850000000002,1230,REV
2025-09-16,BUY,160.4801938934326,1246,
2025-09-16,SELL,160.9195,1246,REV
2025-09-18,BUY,160.7803469467163,1244,
2025-09-18,SELL,160.45894695281984,1244,SL
2025-10-20,BUY,159.0795,1257,
2025-10-21,SELL,160.01995610046387,1257,REV
