code,ticker_code,name,market_product_category,source_date
1870,1870.T,矢作建設工業,プライム（内国株式）,2026-02-28
1871,1871.T,ピーエス・コンストラクション,プライム（内国株式）,2026-02-28
1873,1873.T,日本ハウスホールディングス,プライム（内国株式）,2026-02-28
1878,1878.T,大東建託,プライム（内国株式）,2026-02-28
1879,1879.T,新日本建設,プライム（内国株式）,2026-02-28
1882,1882.T,東亜道路工業,プライム（内国株式）,2026-02-28
1885,1885.T,東亜建設工業,プライム（内国株式）,2026-02-28
1887,1887.T,日本国土開発,プライム（内国株式）,2026-02-28
1888,1888.T,若築建設,プライム（内国株式）,2026-02-28
1893,1893.T,五洋建設,プライム（内国株式）,2026-02-28
1897,1897.T,金下建設,スタンダード（内国株式）,2026-02-28
1898,1898.T,世紀東急工業,プライム（内国株式）,2026-02-28
1899,1899.T,福田組,プライム（内国株式）,2026-02-28
1904,1904.T,大成温調,スタンダード（内国株式）,2026-02-28
1905,1905.T,テノックス,スタンダード（内国株式）,2026-02-28
1909,1909.T,日本ドライケミカル,スタンダード（内国株式）,2026-02-28
1911,1911.T,住友林業,プライム（内国株式）,2026-02-28
1914,1914.T,日本基礎技術,スタンダード（内国株式）,2026-02-28
1921,1921.T,巴コーポレーション,スタンダード（内国株式）,2026-02-28
1925,1925.T,大和ハウス工業,プライム（内国株式）,2026-02-28
1926,1926.T,ライト工業,プライム（内国株式）,2026-02-28
1928,1928.T,積水ハウス,プライム（内国株式）,2026-02-28
1929,1929.T,日特建設,プライム（内国株式）,2026-02-28
1930,1930.T,北陸電気工事,プライム（内国株式）,2026-02-28
1934,1934.T,ユアテック,プライム（内国株式）,2026-02-28
1938,1938.T,日本リーテック,プライム（内国株式）,2026-02-28
1939,1939.T,四電工,プライム（内国株式）,2026-02-28
1941,1941.T,中電工,プライム（内国株式）,2026-02-28
1942,1942.T,関電工,プライム（内国株式）,2026-02-28
1944,1944.T,きんでん,プライム（内国株式）,2026-02-28
1945,1945.T,東京エネシス,プライム（内国株式）,2026-02-28
1946,1946.T,トーエネック,プライム（内国株式）,2026-02-28
1948,1948.T,弘電社,スタンダード（内国株式）,2026-02-28
1949,1949.T,住友電設,プライム（内国株式）,2026-02-28
1950,1950.T,日本電設工業,プライム（内国株式）,2026-02-28
1951,1951.T,エクシオグループ,プライム（内国株式）,2026-02-28
1952,1952.T,新日本空調,プライム（内国株式）,2026-02-28
1959,1959.T,クラフティア,プライム（内国株式）,2026-02-28
1960,1960.T,サンテック,スタンダード（内国株式）,2026-02-28
1961,1961.T,三機工業,プライム（内国株式）,2026-02-28
1963,1963.T,日揮ホールディングス,プライム（内国株式）,2026-02-28
1964,1964.T,中外炉工業,プライム（内国株式）,2026-02-28
1965,1965.T,テクノ菱和,スタンダード（内国株式）,2026-02-28
1966,1966.T,高田工業所,スタンダード（内国株式）,2026-02-28
1967,1967.T,ヤマト,スタンダード（内国株式）,2026-02-28
1968,1968.T,太平電業,プライム（内国株式）,2026-02-28
1969,1969.T,高砂熱学工業,プライム（内国株式）,2026-02-28
1972,1972.T,三晃金属工業,スタンダード（内国株式）,2026-02-28
1975,1975.T,朝日工業社,プライム（内国株式）,2026-02-28
1976,1976.T,明星工業,プライム（内国株式）,2026-02-28
1979,1979.T,大氣社,プライム（内国株式）,2026-02-28
197A,197A.T,タウンズ,スタンダード（内国株式）,2026-02-28
1980,1980.T,ダイダン,プライム（内国株式）,2026-02-28
1981,1981.T,協和日成,スタンダード（内国株式）,2026-02-28
1982,1982.T,日比谷総合設備,プライム（内国株式）,2026-02-28
